response,index,first_occurence
hit,23,13
hit,49,17
f_a,68,68
hit,87,27
f_a,108,108
f_a,146,146
f_a,151,151
hit,158,148
hit,175,145
f_a,177,177
f_a,184,184
hit,230,169
