trial_type,correct,raw_response,test_image,bait_image,lr_response,response_image,filler1,filler2,filler3,filler4,filler5
flipped,0,5,exemplarA/77.jpg,exemplarB/077.jpg,miss,OBJECTSALL/0664.jpg,OBJECTSALL/0158.jpg,OBJECTSALL/1096.jpg,OBJECTSALL/1910.jpg,OBJECTSALL/0111.jpg,OBJECTSALL/0664.jpg
flipped,0,1,exemplarA/380.jpg,exemplarB/0380.jpg,miss,OBJECTSALL/0802.jpg,OBJECTSALL/0802.jpg,OBJECTSALL/1561.jpg,OBJECTSALL/1738.jpg,OBJECTSALL/1089.jpg,OBJECTSALL/0395.jpg
flipped,0,3,exemplarB/051.jpg,exemplarA/51.jpg,miss,OBJECTSALL/0108.jpg,OBJECTSALL/1861.jpg,OBJECTSALL/1714.jpg,OBJECTSALL/0108.jpg,OBJECTSALL/0663.jpg,OBJECTSALL/0688.jpg
flipped,1,4,exemplarA/111.jpg,exemplarB/0111.jpg,f_n,exemplarA/111.jpg,OBJECTSALL/1515.jpg,OBJECTSALL/0980.jpg,OBJECTSALL/0712.jpg,OBJECTSALL/0891.jpg,OBJECTSALL/1413.jpg
flipped,1,3,exemplarB/0279.jpg,exemplarA/279.jpg,f_n,exemplarB/0279.jpg,OBJECTSALL/0737.jpg,OBJECTSALL/1513.jpg,OBJECTSALL/1766.jpg,OBJECTSALL/0246.jpg,OBJECTSALL/0214.jpg
flipped,1,2,exemplarB/0358.jpg,exemplarA/358.jpg,f_n,exemplarB/0358.jpg,OBJECTSALL/0890.jpg,OBJECTSALL/1188.jpg,OBJECTSALL/1322.jpg,OBJECTSALL/1864.jpg,OBJECTSALL/0297.jpg
flipped,1,4,exemplarA/377.jpg,exemplarB/0377.jpg,hit,exemplarA/377.jpg,OBJECTSALL/1657.jpg,OBJECTSALL/0112.jpg,OBJECTSALL/0484.jpg,OBJECTSALL/0683.jpg,OBJECTSALL/0360.jpg
flipped,1,3,exemplarB/024.jpg,exemplarA/24.jpg,hit,exemplarB/024.jpg,OBJECTSALL/0152.jpg,OBJECTSALL/1933.jpg,OBJECTSALL/1502.jpg,OBJECTSALL/1931.jpg,OBJECTSALL/0930.jpg
flipped,0,2,exemplarA/319.jpg,exemplarB/0319.jpg,miss,OBJECTSALL/0168.jpg,OBJECTSALL/0667.jpg,OBJECTSALL/0168.jpg,OBJECTSALL/1758.jpg,OBJECTSALL/0834.jpg,OBJECTSALL/1032.jpg
flipped,1,2,exemplarA/113.jpg,exemplarB/0113.jpg,f_n,exemplarA/113.jpg,OBJECTSALL/0787.jpg,OBJECTSALL/1256.jpg,OBJECTSALL/0808.jpg,OBJECTSALL/1067.jpg,OBJECTSALL/0033.jpg
flipped,1,3,exemplarB/0137.jpg,exemplarA/137.jpg,hit,exemplarB/0137.jpg,OBJECTSALL/0216.jpg,OBJECTSALL/0464.jpg,OBJECTSALL/1911.jpg,OBJECTSALL/0884.jpg,OBJECTSALL/0743.jpg
flipped,0,3,exemplarB/0314.jpg,exemplarA/314.jpg,miss,OBJECTSALL/1331.jpg,OBJECTSALL/1849.jpg,OBJECTSALL/0535.jpg,OBJECTSALL/1331.jpg,OBJECTSALL/1251.jpg,OBJECTSALL/0468.jpg
