trial_type,correct,raw_response,test_image,bait_image,lr_response,response_image,filler1,filler2,filler3,filler4,filler5
flipped,1,6,exemplarA/217.jpg,exemplarB/0217.jpg,f_n,exemplarA/217.jpg,OBJECTSALL/0809.jpg,OBJECTSALL/0180.jpg,OBJECTSALL/1909.jpg,OBJECTSALL/1400.jpg,OBJECTSALL/1165.jpg
flipped,0,2,exemplarA/133.jpg,exemplarB/0133.jpg,miss,OBJECTSALL/0143.jpg,OBJECTSALL/0780.jpg,OBJECTSALL/0143.jpg,OBJECTSALL/1101.jpg,OBJECTSALL/0941.jpg,OBJECTSALL/0354.jpg
flipped,1,2,exemplarB/019.jpg,exemplarA/19.jpg,hit,exemplarB/019.jpg,OBJECTSALL/1869.jpg,OBJECTSALL/0295.jpg,OBJECTSALL/0383.jpg,OBJECTSALL/1157.jpg,OBJECTSALL/0918.jpg
flipped,0,3,exemplarA/176.jpg,exemplarB/0176.jpg,miss,OBJECTSALL/1118.jpg,OBJECTSALL/1792.jpg,OBJECTSALL/1040.jpg,OBJECTSALL/1118.jpg,OBJECTSALL/0412.jpg,OBJECTSALL/1001.jpg
flipped,1,3,exemplarA/139.jpg,exemplarB/0139.jpg,hit,exemplarA/139.jpg,OBJECTSALL/0898.jpg,OBJECTSALL/1229.jpg,OBJECTSALL/0859.jpg,OBJECTSALL/0099.jpg,OBJECTSALL/0252.jpg
flipped,1,5,exemplarA/29.jpg,exemplarB/029.jpg,hit,exemplarA/29.jpg,OBJECTSALL/0409.jpg,OBJECTSALL/1049.jpg,OBJECTSALL/0423.jpg,OBJECTSALL/1449.jpg,OBJECTSALL/1597.jpg
flipped,1,2,exemplarB/0400.jpg,exemplarA/400.jpg,hit,exemplarB/0400.jpg,OBJECTSALL/1328.jpg,OBJECTSALL/0582.jpg,OBJECTSALL/1778.jpg,OBJECTSALL/1300.jpg,OBJECTSALL/1720.jpg
flipped,0,5,exemplarB/099.jpg,exemplarA/99.jpg,f_a,OBJECTSALL/1585.jpg,OBJECTSALL/0289.jpg,OBJECTSALL/0984.jpg,OBJECTSALL/0847.jpg,OBJECTSALL/1693.jpg,OBJECTSALL/1585.jpg
flipped,1,1,exemplarA/151.jpg,exemplarB/0151.jpg,hit,exemplarA/151.jpg,OBJECTSALL/0469.jpg,OBJECTSALL/1006.jpg,OBJECTSALL/0855.jpg,OBJECTSALL/1080.jpg,OBJECTSALL/1629.jpg
flipped,1,6,exemplarA/224.jpg,exemplarB/0224.jpg,hit,exemplarA/224.jpg,OBJECTSALL/0234.jpg,OBJECTSALL/1785.jpg,OBJECTSALL/1141.jpg,OBJECTSALL/0503.jpg,OBJECTSALL/0198.jpg
