trial_type,correct,raw_response,test_image,bait_image,lr_response,response_image,filler1,filler2,filler3,filler4,filler5
flipped,1,2,exemplarB/056.jpg,exemplarA/56.jpg,f_n,exemplarB/056.jpg,OBJECTSALL/0745.jpg,OBJECTSALL/1052.jpg,OBJECTSALL/0693.jpg,OBJECTSALL/1188.jpg,OBJECTSALL/1862.jpg
flipped,0,2,exemplarA/214.jpg,exemplarB/0214.jpg,miss,OBJECTSALL/0063.jpg,OBJECTSALL/1431.jpg,OBJECTSALL/0063.jpg,OBJECTSALL/1022.jpg,OBJECTSALL/0408.jpg,OBJECTSALL/0134.jpg
flipped,1,4,exemplarB/0279.jpg,exemplarA/279.jpg,f_n,exemplarB/0279.jpg,OBJECTSALL/1722.jpg,OBJECTSALL/1377.jpg,OBJECTSALL/0578.jpg,OBJECTSALL/0400.jpg,OBJECTSALL/1203.jpg
flipped,1,2,exemplarB/0305.jpg,exemplarA/305.jpg,f_n,exemplarB/0305.jpg,OBJECTSALL/1576.jpg,OBJECTSALL/1770.jpg,OBJECTSALL/0489.jpg,OBJECTSALL/0442.jpg,OBJECTSALL/1731.jpg
flipped,1,3,exemplarB/0187.jpg,exemplarA/187.jpg,hit,exemplarB/0187.jpg,OBJECTSALL/0970.jpg,OBJECTSALL/0281.jpg,OBJECTSALL/0178.jpg,OBJECTSALL/1162.jpg,OBJECTSALL/0039.jpg
flipped,1,6,exemplarA/151.jpg,exemplarB/0151.jpg,hit,exemplarA/151.jpg,OBJECTSALL/1060.jpg,OBJECTSALL/0054.jpg,OBJECTSALL/1890.jpg,OBJECTSALL/0599.jpg,OBJECTSALL/1378.jpg
flipped,1,2,exemplarB/0366.jpg,exemplarA/366.jpg,f_n,exemplarB/0366.jpg,OBJECTSALL/0287.jpg,OBJECTSALL/1607.jpg,OBJECTSALL/1917.jpg,OBJECTSALL/0012.jpg,OBJECTSALL/1866.jpg
flipped,0,2,exemplarA/20.jpg,exemplarB/020.jpg,miss,OBJECTSALL/0011.jpg,OBJECTSALL/1903.jpg,OBJECTSALL/0011.jpg,OBJECTSALL/0337.jpg,OBJECTSALL/0291.jpg,OBJECTSALL/0395.jpg
flipped,0,2,exemplarA/39.jpg,exemplarB/039.jpg,miss,OBJECTSALL/1379.jpg,OBJECTSALL/0620.jpg,OBJECTSALL/1379.jpg,OBJECTSALL/0766.jpg,OBJECTSALL/0704.jpg,OBJECTSALL/0303.jpg
flipped,0,6,exemplarA/222.jpg,exemplarB/0222.jpg,miss,OBJECTSALL/0846.jpg,OBJECTSALL/0958.jpg,OBJECTSALL/1127.jpg,OBJECTSALL/0743.jpg,OBJECTSALL/0015.jpg,OBJECTSALL/1147.jpg
flipped,1,2,exemplarA/390.jpg,exemplarB/0390.jpg,hit,exemplarA/390.jpg,OBJECTSALL/0670.jpg,OBJECTSALL/0310.jpg,OBJECTSALL/0238.jpg,OBJECTSALL/1380.jpg,OBJECTSALL/1262.jpg
flipped,0,2,exemplarB/0162.jpg,exemplarA/162.jpg,miss,OBJECTSALL/1103.jpg,OBJECTSALL/0491.jpg,OBJECTSALL/1103.jpg,OBJECTSALL/0979.jpg,OBJECTSALL/0329.jpg,OBJECTSALL/1779.jpg
flipped,1,6,exemplarB/055.jpg,exemplarA/55.jpg,f_n,exemplarB/055.jpg,OBJECTSALL/1630.jpg,OBJECTSALL/1506.jpg,OBJECTSALL/0738.jpg,OBJECTSALL/0857.jpg,OBJECTSALL/0239.jpg
flipped,1,5,exemplarA/104.jpg,exemplarB/0104.jpg,hit,exemplarA/104.jpg,OBJECTSALL/0713.jpg,OBJECTSALL/1783.jpg,OBJECTSALL/1485.jpg,OBJECTSALL/0690.jpg,OBJECTSALL/1031.jpg
flipped,0,2,exemplarB/0359.jpg,exemplarA/359.jpg,miss,OBJECTSALL/1277.jpg,OBJECTSALL/0412.jpg,OBJECTSALL/1277.jpg,OBJECTSALL/0171.jpg,OBJECTSALL/0730.jpg,OBJECTSALL/1540.jpg
flipped,0,3,exemplarA/42.jpg,exemplarB/042.jpg,miss,OBJECTSALL/0311.jpg,OBJECTSALL/0934.jpg,OBJECTSALL/0918.jpg,OBJECTSALL/0311.jpg,OBJECTSALL/1441.jpg,OBJECTSALL/0790.jpg
flipped,0,2,exemplarA/197.jpg,exemplarB/0197.jpg,miss,OBJECTSALL/1598.jpg,OBJECTSALL/1178.jpg,OBJECTSALL/1598.jpg,OBJECTSALL/0319.jpg,OBJECTSALL/1547.jpg,OBJECTSALL/0588.jpg
flipped,0,2,exemplarA/68.jpg,exemplarB/068.jpg,f_a,OBJECTSALL/0590.jpg,OBJECTSALL/0761.jpg,OBJECTSALL/0590.jpg,OBJECTSALL/0712.jpg,OBJECTSALL/1125.jpg,OBJECTSALL/1499.jpg
flipped,0,2,exemplarA/382.jpg,exemplarB/0382.jpg,miss,OBJECTSALL/1219.jpg,OBJECTSALL/1562.jpg,OBJECTSALL/1219.jpg,OBJECTSALL/0233.jpg,OBJECTSALL/0746.jpg,OBJECTSALL/1505.jpg
flipped,1,3,exemplarA/198.jpg,exemplarB/0198.jpg,hit,exemplarA/198.jpg,OBJECTSALL/1077.jpg,OBJECTSALL/1402.jpg,OBJECTSALL/1013.jpg,OBJECTSALL/0453.jpg,OBJECTSALL/0295.jpg
flipped,1,1,exemplarB/0165.jpg,exemplarA/165.jpg,hit,exemplarB/0165.jpg,OBJECTSALL/1066.jpg,OBJECTSALL/1652.jpg,OBJECTSALL/0065.jpg,OBJECTSALL/1763.jpg,OBJECTSALL/0121.jpg
flipped,1,4,exemplarA/302.jpg,exemplarB/0302.jpg,hit,exemplarA/302.jpg,OBJECTSALL/0576.jpg,OBJECTSALL/1442.jpg,OBJECTSALL/1759.jpg,OBJECTSALL/0333.jpg,OBJECTSALL/0758.jpg
flipped,1,1,exemplarB/0140.jpg,exemplarA/140.jpg,hit,exemplarB/0140.jpg,OBJECTSALL/0049.jpg,OBJECTSALL/0419.jpg,OBJECTSALL/0982.jpg,OBJECTSALL/0143.jpg,OBJECTSALL/1017.jpg
flipped,0,4,exemplarA/398.jpg,exemplarB/0398.jpg,miss,OBJECTSALL/1406.jpg,OBJECTSALL/0070.jpg,OBJECTSALL/1745.jpg,OBJECTSALL/0667.jpg,OBJECTSALL/1406.jpg,OBJECTSALL/0266.jpg
flipped,1,2,exemplarA/346.jpg,exemplarB/0346.jpg,f_n,exemplarA/346.jpg,OBJECTSALL/0778.jpg,OBJECTSALL/1349.jpg,OBJECTSALL/1889.jpg,OBJECTSALL/1571.jpg,OBJECTSALL/1626.jpg
flipped,1,6,exemplarB/040.jpg,exemplarA/40.jpg,hit,exemplarB/040.jpg,OBJECTSALL/0182.jpg,OBJECTSALL/0948.jpg,OBJECTSALL/0050.jpg,OBJECTSALL/1943.jpg,OBJECTSALL/1263.jpg
flipped,0,2,exemplarA/256.jpg,exemplarB/0256.jpg,miss,OBJECTSALL/1110.jpg,OBJECTSALL/0829.jpg,OBJECTSALL/1110.jpg,OBJECTSALL/1474.jpg,OBJECTSALL/1244.jpg,OBJECTSALL/0131.jpg
flipped,0,5,exemplarA/248.jpg,exemplarB/0248.jpg,miss,OBJECTSALL/0720.jpg,OBJECTSALL/1267.jpg,OBJECTSALL/1959.jpg,OBJECTSALL/0759.jpg,OBJECTSALL/0630.jpg,OBJECTSALL/0720.jpg
flipped,1,3,exemplarB/0259.jpg,exemplarA/259.jpg,hit,exemplarB/0259.jpg,OBJECTSALL/0542.jpg,OBJECTSALL/0176.jpg,OBJECTSALL/1553.jpg,OBJECTSALL/1155.jpg,OBJECTSALL/0997.jpg
flipped,1,3,exemplarB/0316.jpg,exemplarA/316.jpg,hit,exemplarB/0316.jpg,OBJECTSALL/1648.jpg,OBJECTSALL/0393.jpg,OBJECTSALL/1737.jpg,OBJECTSALL/0664.jpg,OBJECTSALL/1171.jpg
flipped,0,2,exemplarB/052.jpg,exemplarA/52.jpg,miss,OBJECTSALL/1720.jpg,OBJECTSALL/1705.jpg,OBJECTSALL/1720.jpg,OBJECTSALL/1467.jpg,OBJECTSALL/0175.jpg,OBJECTSALL/0090.jpg
flipped,0,3,exemplarA/122.jpg,exemplarB/0122.jpg,miss,OBJECTSALL/0481.jpg,OBJECTSALL/1769.jpg,OBJECTSALL/1951.jpg,OBJECTSALL/0481.jpg,OBJECTSALL/0189.jpg,OBJECTSALL/1015.jpg
flipped,0,2,exemplarB/0107.jpg,exemplarA/107.jpg,miss,OBJECTSALL/1221.jpg,OBJECTSALL/1030.jpg,OBJECTSALL/1221.jpg,OBJECTSALL/0264.jpg,OBJECTSALL/0451.jpg,OBJECTSALL/1650.jpg
flipped,1,5,exemplarB/09.jpg,exemplarA/9.jpg,hit,exemplarB/09.jpg,OBJECTSALL/1469.jpg,OBJECTSALL/0435.jpg,OBJECTSALL/1924.jpg,OBJECTSALL/0380.jpg,OBJECTSALL/1804.jpg
flipped,1,6,exemplarB/0272.jpg,exemplarA/272.jpg,hit,exemplarB/0272.jpg,OBJECTSALL/0565.jpg,OBJECTSALL/1368.jpg,OBJECTSALL/0812.jpg,OBJECTSALL/1479.jpg,OBJECTSALL/0179.jpg
flipped,1,1,exemplarB/088.jpg,exemplarA/88.jpg,hit,exemplarB/088.jpg,OBJECTSALL/1176.jpg,OBJECTSALL/1016.jpg,OBJECTSALL/1672.jpg,OBJECTSALL/0199.jpg,OBJECTSALL/1298.jpg
flipped,1,5,exemplarB/0185.jpg,exemplarA/185.jpg,hit,exemplarB/0185.jpg,OBJECTSALL/0753.jpg,OBJECTSALL/0153.jpg,OBJECTSALL/1211.jpg,OBJECTSALL/1310.jpg,OBJECTSALL/1945.jpg
