response,index,first_occurence
hit,10,0
f_a,48,48
hit,63,33
f_a,69,69
f_a,105,105
f_a,109,109
hit,118,57
hit,164,152
f_a,174,174
hit,187,157
f_a,189,189
f_a,218,218
f_a,220,220
hit,223,162
f_a,235,235
