response,index,first_occurence
hit,61,29
hit,67,57
f_a,87,87
miss,99,37
f_a,102,102
f_a,123,123
f_a,159,159
f_a,161,161
hit,166,156
f_a,172,172
f_a,175,175
f_a,175,175
f_a,182,182
f_a,184,184
miss,206,176
f_a,219,219
f_a,219,219
f_a,221,221
f_a,229,229
hit,231,171
f_a,237,237
f_a,240,240
f_a,243,243
f_a,250,250
