response,index,first_occurence
f_a,14,14
f_a,38,38
f_a,42,42
hit,52,42
hit,55,25
f_a,63,63
f_a,71,71
hit,80,18
f_a,82,82
f_a,114,114
f_a,118,118
f_a,141,141
f_a,145,145
hit,163,153
f_a,167,167
hit,170,138
f_a,175,175
f_a,187,187
hit,189,125
f_a,205,205
f_a,219,219
