trial_type,correct,raw_response,test_image,bait_image,response_image,filler1,filler2,filler3,filler4,filler5
studied,0,1,exemplarA/308.jpg,exemplarB/0308.jpg,OBJECTSALL/0424.jpg,OBJECTSALL/0424.jpg,OBJECTSALL/0145.jpg,OBJECTSALL/0290.jpg,OBJECTSALL/0432.jpg,OBJECTSALL/1434.jpg
studied,0,4,exemplarB/0231.jpg,exemplarA/231.jpg,OBJECTSALL/1912.jpg,OBJECTSALL/1261.jpg,OBJECTSALL/1206.jpg,OBJECTSALL/1874.jpg,OBJECTSALL/1912.jpg,OBJECTSALL/1343.jpg
studied,0,2,exemplarB/0228.jpg,exemplarA/228.jpg,OBJECTSALL/0256.jpg,OBJECTSALL/1245.jpg,OBJECTSALL/0256.jpg,OBJECTSALL/0378.jpg,OBJECTSALL/0811.jpg,OBJECTSALL/0973.jpg
studied,1,1,exemplarB/0252.jpg,exemplarA/252.jpg,exemplarB/0252.jpg,OBJECTSALL/1085.jpg,OBJECTSALL/0085.jpg,OBJECTSALL/1372.jpg,OBJECTSALL/1711.jpg,OBJECTSALL/0728.jpg
studied,1,2,exemplarA/49.jpg,exemplarB/049.jpg,exemplarA/49.jpg,OBJECTSALL/1299.jpg,OBJECTSALL/0367.jpg,OBJECTSALL/1475.jpg,OBJECTSALL/1818.jpg,OBJECTSALL/1751.jpg
studied,0,6,exemplarB/0115.jpg,exemplarA/115.jpg,OBJECTSALL/0314.jpg,OBJECTSALL/1519.jpg,OBJECTSALL/1951.jpg,OBJECTSALL/1240.jpg,OBJECTSALL/0718.jpg,OBJECTSALL/1954.jpg
studied,0,1,exemplarB/06.jpg,exemplarA/6.jpg,OBJECTSALL/1630.jpg,OBJECTSALL/1630.jpg,OBJECTSALL/0498.jpg,OBJECTSALL/1578.jpg,OBJECTSALL/0565.jpg,OBJECTSALL/0544.jpg
studied,0,1,exemplarA/314.jpg,exemplarB/0314.jpg,OBJECTSALL/1324.jpg,OBJECTSALL/1324.jpg,OBJECTSALL/1833.jpg,OBJECTSALL/0232.jpg,OBJECTSALL/0137.jpg,OBJECTSALL/1573.jpg
studied,0,1,exemplarB/051.jpg,exemplarA/51.jpg,OBJECTSALL/0460.jpg,OBJECTSALL/0460.jpg,OBJECTSALL/1361.jpg,OBJECTSALL/0816.jpg,OBJECTSALL/0774.jpg,OBJECTSALL/1382.jpg
studied,1,4,exemplarB/0386.jpg,exemplarA/386.jpg,exemplarB/0386.jpg,OBJECTSALL/1177.jpg,OBJECTSALL/1868.jpg,OBJECTSALL/0048.jpg,OBJECTSALL/1442.jpg,OBJECTSALL/1760.jpg
studied,0,3,exemplarA/357.jpg,exemplarB/0357.jpg,OBJECTSALL/1033.jpg,OBJECTSALL/1114.jpg,OBJECTSALL/1073.jpg,OBJECTSALL/1033.jpg,OBJECTSALL/1518.jpg,OBJECTSALL/1796.jpg
studied,1,1,exemplarA/116.jpg,exemplarB/0116.jpg,exemplarA/116.jpg,OBJECTSALL/1440.jpg,OBJECTSALL/0843.jpg,OBJECTSALL/1099.jpg,OBJECTSALL/0086.jpg,OBJECTSALL/1385.jpg
studied,0,6,exemplarA/283.jpg,exemplarB/0283.jpg,OBJECTSALL/1209.jpg,OBJECTSALL/1673.jpg,OBJECTSALL/0614.jpg,OBJECTSALL/1003.jpg,OBJECTSALL/0376.jpg,OBJECTSALL/0195.jpg
studied,1,1,exemplarB/0237.jpg,exemplarA/237.jpg,exemplarB/0237.jpg,OBJECTSALL/0492.jpg,OBJECTSALL/1690.jpg,OBJECTSALL/1901.jpg,OBJECTSALL/0509.jpg,OBJECTSALL/1576.jpg
studied,1,6,exemplarB/072.jpg,exemplarA/72.jpg,exemplarB/072.jpg,OBJECTSALL/0092.jpg,OBJECTSALL/0119.jpg,OBJECTSALL/1182.jpg,OBJECTSALL/1308.jpg,OBJECTSALL/1700.jpg
studied,1,6,exemplarB/0167.jpg,exemplarA/167.jpg,exemplarB/0167.jpg,OBJECTSALL/1063.jpg,OBJECTSALL/0172.jpg,OBJECTSALL/0253.jpg,OBJECTSALL/1274.jpg,OBJECTSALL/0056.jpg
studied,0,1,exemplarA/320.jpg,exemplarB/0320.jpg,OBJECTSALL/0141.jpg,OBJECTSALL/0141.jpg,OBJECTSALL/1269.jpg,OBJECTSALL/1129.jpg,OBJECTSALL/1591.jpg,OBJECTSALL/1924.jpg
studied,1,4,exemplarA/370.jpg,exemplarB/0370.jpg,exemplarA/370.jpg,OBJECTSALL/0010.jpg,OBJECTSALL/0901.jpg,OBJECTSALL/1905.jpg,OBJECTSALL/0696.jpg,OBJECTSALL/1825.jpg
studied,0,4,exemplarA/382.jpg,exemplarB/0382.jpg,OBJECTSALL/0257.jpg,OBJECTSALL/0316.jpg,OBJECTSALL/0088.jpg,OBJECTSALL/1704.jpg,OBJECTSALL/0257.jpg,OBJECTSALL/1334.jpg
studied,0,3,exemplarA/388.jpg,exemplarB/0388.jpg,OBJECTSALL/0790.jpg,OBJECTSALL/0284.jpg,OBJECTSALL/0508.jpg,OBJECTSALL/0790.jpg,OBJECTSALL/1692.jpg,OBJECTSALL/0354.jpg
studied,0,6,exemplarB/0220.jpg,exemplarA/220.jpg,OBJECTSALL/0851.jpg,OBJECTSALL/1218.jpg,OBJECTSALL/0962.jpg,OBJECTSALL/1185.jpg,OBJECTSALL/1320.jpg,OBJECTSALL/1777.jpg
studied,0,4,exemplarB/087.jpg,exemplarA/87.jpg,OBJECTSALL/0038.jpg,OBJECTSALL/1637.jpg,OBJECTSALL/0783.jpg,OBJECTSALL/0216.jpg,OBJECTSALL/0038.jpg,OBJECTSALL/1753.jpg
studied,0,1,exemplarB/0369.jpg,exemplarA/369.jpg,OBJECTSALL/0966.jpg,OBJECTSALL/0966.jpg,OBJECTSALL/0479.jpg,OBJECTSALL/0735.jpg,OBJECTSALL/1443.jpg,OBJECTSALL/1096.jpg
studied,0,6,exemplarB/0239.jpg,exemplarA/239.jpg,OBJECTSALL/0866.jpg,OBJECTSALL/0340.jpg,OBJECTSALL/0566.jpg,OBJECTSALL/1283.jpg,OBJECTSALL/0285.jpg,OBJECTSALL/0294.jpg
studied,0,6,exemplarB/0114.jpg,exemplarA/114.jpg,OBJECTSALL/1462.jpg,OBJECTSALL/0985.jpg,OBJECTSALL/1246.jpg,OBJECTSALL/1931.jpg,OBJECTSALL/1395.jpg,OBJECTSALL/0716.jpg
studied,0,3,exemplarA/366.jpg,exemplarB/0366.jpg,OBJECTSALL/1663.jpg,OBJECTSALL/0122.jpg,OBJECTSALL/0402.jpg,OBJECTSALL/1663.jpg,OBJECTSALL/0813.jpg,OBJECTSALL/0986.jpg
studied,1,5,exemplarB/0202.jpg,exemplarA/202.jpg,exemplarB/0202.jpg,OBJECTSALL/1070.jpg,OBJECTSALL/0026.jpg,OBJECTSALL/0002.jpg,OBJECTSALL/1248.jpg,OBJECTSALL/1921.jpg
