trial_type,correct,raw_response,test_image,bait_image,response_image,filler1,filler2,filler3,filler4,filler5
studied,0,4,exemplarA/337.jpg,exemplarB/0337.jpg,OBJECTSALL/0353.jpg,OBJECTSALL/0563.jpg,OBJECTSALL/1612.jpg,OBJECTSALL/1099.jpg,OBJECTSALL/0353.jpg,OBJECTSALL/0088.jpg
studied,1,4,exemplarB/072.jpg,exemplarA/72.jpg,exemplarB/072.jpg,OBJECTSALL/0016.jpg,OBJECTSALL/1262.jpg,OBJECTSALL/0521.jpg,OBJECTSALL/1380.jpg,OBJECTSALL/0480.jpg
studied,1,4,exemplarB/0102.jpg,exemplarA/102.jpg,exemplarB/0102.jpg,OBJECTSALL/1856.jpg,OBJECTSALL/1532.jpg,OBJECTSALL/0313.jpg,OBJECTSALL/1394.jpg,OBJECTSALL/0551.jpg
studied,0,3,exemplarB/0249.jpg,exemplarA/249.jpg,OBJECTSALL/0842.jpg,OBJECTSALL/0182.jpg,OBJECTSALL/0610.jpg,OBJECTSALL/0842.jpg,OBJECTSALL/0046.jpg,OBJECTSALL/0379.jpg
studied,1,5,exemplarB/0279.jpg,exemplarA/279.jpg,exemplarB/0279.jpg,OBJECTSALL/0506.jpg,OBJECTSALL/1456.jpg,OBJECTSALL/0395.jpg,OBJECTSALL/0202.jpg,OBJECTSALL/1081.jpg
studied,0,3,exemplarA/126.jpg,exemplarB/0126.jpg,OBJECTSALL/1575.jpg,OBJECTSALL/0723.jpg,OBJECTSALL/0760.jpg,OBJECTSALL/1575.jpg,OBJECTSALL/1686.jpg,OBJECTSALL/1149.jpg
studied,0,4,exemplarB/0241.jpg,exemplarA/241.jpg,OBJECTSALL/0291.jpg,OBJECTSALL/0307.jpg,OBJECTSALL/1015.jpg,OBJECTSALL/0672.jpg,OBJECTSALL/0291.jpg,OBJECTSALL/1167.jpg
studied,0,4,exemplarA/22.jpg,exemplarB/022.jpg,OBJECTSALL/1063.jpg,OBJECTSALL/1754.jpg,OBJECTSALL/1631.jpg,OBJECTSALL/1787.jpg,OBJECTSALL/1063.jpg,OBJECTSALL/0147.jpg
studied,1,5,exemplarB/0217.jpg,exemplarA/217.jpg,exemplarB/0217.jpg,OBJECTSALL/1949.jpg,OBJECTSALL/1028.jpg,OBJECTSALL/0858.jpg,OBJECTSALL/1049.jpg,OBJECTSALL/0122.jpg
studied,0,5,exemplarB/0139.jpg,exemplarA/139.jpg,OBJECTSALL/0289.jpg,OBJECTSALL/1816.jpg,OBJECTSALL/0449.jpg,OBJECTSALL/1333.jpg,OBJECTSALL/0969.jpg,OBJECTSALL/0289.jpg
studied,1,2,exemplarA/180.jpg,exemplarB/0180.jpg,exemplarA/180.jpg,OBJECTSALL/0615.jpg,OBJECTSALL/1774.jpg,OBJECTSALL/1272.jpg,OBJECTSALL/1465.jpg,OBJECTSALL/1621.jpg
studied,0,6,exemplarB/0354.jpg,exemplarA/354.jpg,OBJECTSALL/0352.jpg,OBJECTSALL/0689.jpg,OBJECTSALL/0180.jpg,OBJECTSALL/1641.jpg,OBJECTSALL/1083.jpg,OBJECTSALL/0264.jpg
studied,0,3,exemplarA/80.jpg,exemplarB/080.jpg,OBJECTSALL/0767.jpg,OBJECTSALL/0344.jpg,OBJECTSALL/0914.jpg,OBJECTSALL/0767.jpg,OBJECTSALL/1878.jpg,OBJECTSALL/1131.jpg
studied,1,1,exemplarA/375.jpg,exemplarB/0375.jpg,exemplarA/375.jpg,OBJECTSALL/1861.jpg,OBJECTSALL/1064.jpg,OBJECTSALL/1806.jpg,OBJECTSALL/1942.jpg,OBJECTSALL/0862.jpg
