trial_type,correct,raw_response,test_image,bait_image,response_image,filler1,filler2,filler3,filler4,filler5
studied,0,3,exemplarB/0324.jpg,exemplarA/324.jpg,OBJECTSALL/0868.jpg,OBJECTSALL/1108.jpg,OBJECTSALL/1346.jpg,OBJECTSALL/0868.jpg,OBJECTSALL/0432.jpg,OBJECTSALL/1887.jpg
studied,0,3,exemplarA/153.jpg,exemplarB/0153.jpg,OBJECTSALL/1464.jpg,OBJECTSALL/0843.jpg,OBJECTSALL/1658.jpg,OBJECTSALL/1464.jpg,OBJECTSALL/0993.jpg,OBJECTSALL/0828.jpg
studied,1,6,exemplarA/336.jpg,exemplarB/0336.jpg,exemplarA/336.jpg,OBJECTSALL/1720.jpg,OBJECTSALL/0007.jpg,OBJECTSALL/0183.jpg,OBJECTSALL/1778.jpg,OBJECTSALL/0588.jpg
studied,1,5,exemplarA/217.jpg,exemplarB/0217.jpg,exemplarA/217.jpg,OBJECTSALL/0619.jpg,OBJECTSALL/1593.jpg,OBJECTSALL/1819.jpg,OBJECTSALL/1103.jpg,OBJECTSALL/1522.jpg
studied,1,1,exemplarB/027.jpg,exemplarA/27.jpg,exemplarB/027.jpg,OBJECTSALL/0034.jpg,OBJECTSALL/0279.jpg,OBJECTSALL/0099.jpg,OBJECTSALL/0434.jpg,OBJECTSALL/0075.jpg
studied,0,4,exemplarA/277.jpg,exemplarB/0277.jpg,OBJECTSALL/1653.jpg,OBJECTSALL/0595.jpg,OBJECTSALL/0114.jpg,OBJECTSALL/0390.jpg,OBJECTSALL/1653.jpg,OBJECTSALL/1671.jpg
studied,1,6,exemplarB/0351.jpg,exemplarA/351.jpg,exemplarB/0351.jpg,OBJECTSALL/1573.jpg,OBJECTSALL/0281.jpg,OBJECTSALL/1895.jpg,OBJECTSALL/1839.jpg,OBJECTSALL/1350.jpg
studied,1,3,exemplarA/34.jpg,exemplarB/034.jpg,exemplarA/34.jpg,OBJECTSALL/0357.jpg,OBJECTSALL/1536.jpg,OBJECTSALL/0012.jpg,OBJECTSALL/1730.jpg,OBJECTSALL/0899.jpg
studied,1,5,exemplarB/0381.jpg,exemplarA/381.jpg,exemplarB/0381.jpg,OBJECTSALL/0159.jpg,OBJECTSALL/0620.jpg,OBJECTSALL/1485.jpg,OBJECTSALL/0403.jpg,OBJECTSALL/1541.jpg
studied,1,1,exemplarA/181.jpg,exemplarB/0181.jpg,exemplarA/181.jpg,OBJECTSALL/1508.jpg,OBJECTSALL/1706.jpg,OBJECTSALL/0905.jpg,OBJECTSALL/1845.jpg,OBJECTSALL/1145.jpg
studied,1,1,exemplarA/56.jpg,exemplarB/056.jpg,exemplarA/56.jpg,OBJECTSALL/0386.jpg,OBJECTSALL/1292.jpg,OBJECTSALL/1897.jpg,OBJECTSALL/1402.jpg,OBJECTSALL/0330.jpg
