trial_type,correct,raw_response,test_image,bait_image,response_image,filler1,filler2,filler3,filler4,filler5
studied,1,6,exemplarB/081.jpg,exemplarA/81.jpg,exemplarB/081.jpg,OBJECTSALL/0102.jpg,OBJECTSALL/0477.jpg,OBJECTSALL/1703.jpg,OBJECTSALL/1252.jpg,OBJECTSALL/0084.jpg
studied,1,5,exemplarA/144.jpg,exemplarB/0144.jpg,exemplarA/144.jpg,OBJECTSALL/0725.jpg,OBJECTSALL/0897.jpg,OBJECTSALL/0225.jpg,OBJECTSALL/1306.jpg,OBJECTSALL/1222.jpg
studied,1,4,exemplarB/0325.jpg,exemplarA/325.jpg,exemplarB/0325.jpg,OBJECTSALL/1959.jpg,OBJECTSALL/0733.jpg,OBJECTSALL/0835.jpg,OBJECTSALL/0570.jpg,OBJECTSALL/1258.jpg
studied,0,6,exemplarA/265.jpg,exemplarB/0265.jpg,OBJECTSALL/0966.jpg,OBJECTSALL/0057.jpg,OBJECTSALL/0215.jpg,OBJECTSALL/0633.jpg,OBJECTSALL/1854.jpg,OBJECTSALL/1264.jpg
studied,1,1,exemplarA/40.jpg,exemplarB/040.jpg,exemplarA/40.jpg,OBJECTSALL/1340.jpg,OBJECTSALL/1231.jpg,OBJECTSALL/1657.jpg,OBJECTSALL/1206.jpg,OBJECTSALL/1301.jpg
studied,0,5,exemplarA/222.jpg,exemplarB/0222.jpg,OBJECTSALL/0238.jpg,OBJECTSALL/0387.jpg,OBJECTSALL/0549.jpg,OBJECTSALL/1201.jpg,OBJECTSALL/0934.jpg,OBJECTSALL/0238.jpg
studied,0,2,exemplarA/228.jpg,exemplarB/0228.jpg,OBJECTSALL/1198.jpg,OBJECTSALL/0360.jpg,OBJECTSALL/1198.jpg,OBJECTSALL/1925.jpg,OBJECTSALL/1845.jpg,OBJECTSALL/0397.jpg
studied,1,1,exemplarA/155.jpg,exemplarB/0155.jpg,exemplarA/155.jpg,OBJECTSALL/0712.jpg,OBJECTSALL/0316.jpg,OBJECTSALL/1245.jpg,OBJECTSALL/1593.jpg,OBJECTSALL/0152.jpg
studied,1,2,exemplarB/0224.jpg,exemplarA/224.jpg,exemplarB/0224.jpg,OBJECTSALL/0957.jpg,OBJECTSALL/1891.jpg,OBJECTSALL/0520.jpg,OBJECTSALL/1601.jpg,OBJECTSALL/1008.jpg
studied,1,1,exemplarA/126.jpg,exemplarB/0126.jpg,exemplarA/126.jpg,OBJECTSALL/0847.jpg,OBJECTSALL/1828.jpg,OBJECTSALL/1348.jpg,OBJECTSALL/0427.jpg,OBJECTSALL/0072.jpg
studied,0,6,exemplarA/235.jpg,exemplarB/0235.jpg,OBJECTSALL/1019.jpg,OBJECTSALL/1072.jpg,OBJECTSALL/1060.jpg,OBJECTSALL/0885.jpg,OBJECTSALL/1698.jpg,OBJECTSALL/1369.jpg
studied,0,3,exemplarA/317.jpg,exemplarB/0317.jpg,OBJECTSALL/1342.jpg,OBJECTSALL/1109.jpg,OBJECTSALL/0109.jpg,OBJECTSALL/1342.jpg,OBJECTSALL/0176.jpg,OBJECTSALL/0228.jpg
studied,0,3,exemplarB/0360.jpg,exemplarA/360.jpg,OBJECTSALL/1850.jpg,OBJECTSALL/1471.jpg,OBJECTSALL/1880.jpg,OBJECTSALL/1850.jpg,OBJECTSALL/0513.jpg,OBJECTSALL/0121.jpg
studied,1,6,exemplarB/0400.jpg,exemplarA/400.jpg,exemplarB/0400.jpg,OBJECTSALL/1923.jpg,OBJECTSALL/0100.jpg,OBJECTSALL/1214.jpg,OBJECTSALL/0311.jpg,OBJECTSALL/1763.jpg
studied,0,5,exemplarB/0321.jpg,exemplarA/321.jpg,OBJECTSALL/0490.jpg,OBJECTSALL/1124.jpg,OBJECTSALL/1343.jpg,OBJECTSALL/0768.jpg,OBJECTSALL/1529.jpg,OBJECTSALL/0490.jpg
