trial_type,correct,raw_response,test_image,bait_image,response_image,filler1,filler2,filler3,filler4,filler5
studied,0,1,exemplarB/091.jpg,exemplarA/91.jpg,OBJECTSALL/1537.jpg,OBJECTSALL/1537.jpg,OBJECTSALL/1000.jpg,OBJECTSALL/1125.jpg,OBJECTSALL/0139.jpg,OBJECTSALL/0262.jpg
studied,0,2,exemplarA/363.jpg,exemplarB/0363.jpg,OBJECTSALL/1514.jpg,OBJECTSALL/1826.jpg,OBJECTSALL/1514.jpg,OBJECTSALL/1269.jpg,OBJECTSALL/1884.jpg,OBJECTSALL/0289.jpg
studied,0,6,exemplarA/196.jpg,exemplarB/0196.jpg,OBJECTSALL/0877.jpg,OBJECTSALL/1489.jpg,OBJECTSALL/0002.jpg,OBJECTSALL/1636.jpg,OBJECTSALL/1631.jpg,OBJECTSALL/0456.jpg
studied,0,4,exemplarA/7.jpg,exemplarB/07.jpg,OBJECTSALL/0861.jpg,OBJECTSALL/0352.jpg,OBJECTSALL/1538.jpg,OBJECTSALL/0805.jpg,OBJECTSALL/0861.jpg,OBJECTSALL/1770.jpg
studied,1,6,exemplarB/0293.jpg,exemplarA/293.jpg,exemplarB/0293.jpg,OBJECTSALL/1939.jpg,OBJECTSALL/1883.jpg,OBJECTSALL/0839.jpg,OBJECTSALL/0279.jpg,OBJECTSALL/0598.jpg
studied,0,6,exemplarB/039.jpg,exemplarA/39.jpg,OBJECTSALL/0485.jpg,OBJECTSALL/0403.jpg,OBJECTSALL/0380.jpg,OBJECTSALL/1309.jpg,OBJECTSALL/1509.jpg,OBJECTSALL/1769.jpg
studied,1,3,exemplarA/68.jpg,exemplarB/068.jpg,exemplarA/68.jpg,OBJECTSALL/0977.jpg,OBJECTSALL/0415.jpg,OBJECTSALL/0504.jpg,OBJECTSALL/1757.jpg,OBJECTSALL/0453.jpg
studied,1,3,exemplarA/239.jpg,exemplarB/0239.jpg,exemplarA/239.jpg,OBJECTSALL/1555.jpg,OBJECTSALL/0103.jpg,OBJECTSALL/1290.jpg,OBJECTSALL/0666.jpg,OBJECTSALL/0300.jpg
studied,0,4,exemplarB/037.jpg,exemplarA/37.jpg,OBJECTSALL/0685.jpg,OBJECTSALL/1932.jpg,OBJECTSALL/0238.jpg,OBJECTSALL/0442.jpg,OBJECTSALL/0685.jpg,OBJECTSALL/1523.jpg
studied,0,5,exemplarA/75.jpg,exemplarB/075.jpg,OBJECTSALL/0375.jpg,OBJECTSALL/0121.jpg,OBJECTSALL/1123.jpg,OBJECTSALL/1852.jpg,OBJECTSALL/0079.jpg,OBJECTSALL/0375.jpg
studied,0,5,exemplarA/80.jpg,exemplarB/080.jpg,OBJECTSALL/1165.jpg,OBJECTSALL/0083.jpg,OBJECTSALL/1597.jpg,OBJECTSALL/0312.jpg,OBJECTSALL/0057.jpg,OBJECTSALL/1165.jpg
studied,1,1,exemplarA/248.jpg,exemplarB/0248.jpg,exemplarA/248.jpg,OBJECTSALL/1100.jpg,OBJECTSALL/0255.jpg,OBJECTSALL/1340.jpg,OBJECTSALL/1314.jpg,OBJECTSALL/1433.jpg
studied,0,4,exemplarA/104.jpg,exemplarB/0104.jpg,OBJECTSALL/1534.jpg,OBJECTSALL/1626.jpg,OBJECTSALL/1824.jpg,OBJECTSALL/1334.jpg,OBJECTSALL/1534.jpg,OBJECTSALL/1346.jpg
